id,companyId,agentName,carrier,originPort,originPortCode,pickupLocation,destinationPort,destinationPortCode,deliveryLocation,rate,currency,validUntil,comments,chassis,overweight,deliveryZip,pickupZip,transitTime,freeTime,freightType,isAllIn,pickupCost,oceanCost,deliveryCost,portFees,status,containerCount,deconsolidation,container_return,bl_release,thc,isps,trs,security_fee,observation
FQ1765234032036,COMP1764818591026,INFINITY,,Charleston,CHS,"811 Pressley Rd., Charlotte, NC",Pecem,BRPEC,,2690,USD,2026-01-30,,0,0,,28217,32,15,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1765286931321,COMP1764818591026,INFINITY,,"Savannah ",USSAV,"400 Carmalt Street, Thomasville, NC"," Iskenderun",TRISK,,3204,USD,2026-01-30,,0,0,,27360,42,14,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1765287064800,COMP1764818591026,INFINITY,,Charleston,CHS,"Charlotte, NC",Ho Chi Minh,VNSGN,,2137,USD,2025-12-31,,0,0,,28202,42,14,DOOR_PORT,true,0,0,0,0,EXPIRED,,0,0,0,0,0,0,0,
FQ1765287174999,COMP1764818591026,INFINITY,,Charleston,CHS,"811 Pressley Rd., Charlotte, NC",Ho Chi Minh,VNSGN,,2137,USD,2025-12-31,,0,0,,28217,42,14,DOOR_PORT,true,0,0,0,0,EXPIRED,,0,0,0,0,0,0,0,
FQ1765470216472,COMP1764818591026,INFINITY,,Charleston,CHS,"1001 Chattanooga Ave, Dalton, GA",Santos,SAN,,3267,USD,2025-12-31,"Free time: 15 days for Textile
Free time: 21 days for Resins",0,0,,30720,32,15,DOOR_PORT,true,0,0,0,0,EXPIRED,,0,0,0,0,0,0,0,
FQ1765470252461,COMP1764818591026,INFINITY,CMA CGM,Charleston,CHS,"1001 Chattanooga Ave, Dalton, GA",Manaus,MAO,,4710,USD,2025-12-31,"Free time: 15 days for Textile
Free time: 21 days for Resins",0,0,,30720,32,15,DOOR_PORT,true,0,0,0,0,EXPIRED,,0,0,0,0,0,0,0,
FQ1765561921002,COMP1764818591026,INFINITY,,Acajutla,SVAQJ,Acajutla,Pecem,BRPEC,,2127,USD,2026-01-30,,0,0,,,58,15,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1765562209987,COMP1764818591026,INFINITY,,"ACAJUTLA ",ACA,,Pecem,PEC,,2100,USD,2026-01-15,,0,0,,,44,15,DOOR_PORT,true,0,0,0,0,ACTIVE,,0,0,0,0,0,0,0,
FQ1765562314454,COMP1764818591026,INFINITY,,Guatemala City,GTGUA,,Pecem,PEC,,3235,USD,2026-01-15,,0,0,,,45,15,PORT_PORT,true,0,0,0,0,ACTIVE,,0,0,0,0,0,0,0,
FQ1765562540256,COMP1764818591026,INFINITY,,Guatemala City,GTGUA,,Antwerp,ANT,,2385,USD,2026-01-15,,0,0,,,28,3,PORT_PORT,true,0,0,0,0,ACTIVE,,0,0,0,0,0,0,0,
FQ1767833559997,COMP1764818591026,INFINITY,,Puerto Quetzal,GTPRQ,"Guatemala City, Guatemala",Ho Chi Minh,VNSGN,,1801,USD,2026-02-07,,0,0,,01001,56,14,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1767991116817,COMP1764818591026,INTERGLOBO,,Charleston,USCHS,,Houston,USHOU,,2500,USD,2026-02-08,,0,0,,,0,0,PORT_DOOR,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1767991743280,COMP1764818591026,INTERGLOBO,,Ningbo,CNNGB,,Charleston,USCHS,,3685,USD,2026-02-08,,50,200,,,0,0,PORT_DOOR,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1767991877896,COMP1764818591026,INTERGLOBO,,"Busan     ",KRPUS,,Charleston,USCHS,,3985,USD,2026-02-08,,50,200,,,0,0,PORT_DOOR,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1767992185629,COMP1764818591026,INTERGLOBO,,Charleston,USCHS,,Antwerp,BEANR,,1561,USD,2026-02-08,,50,200,,,0,0,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1767992284058,COMP1764818591026,INTERGLOBO,,Charleston,USCHS,,Valencia,ESVLC,,1717,USD,2026-02-08,,50,200,,,0,0,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1767992536583,COMP1764818591026,INTERGLOBO,,Charleston,USCHS,,Gothenburg,SEGOT,,2560,USD,2026-02-08,,50,200,,,0,0,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768230820892,COMP1764818591026,INFINITY,,Puerto Cortes,HNPCR,Choloma Cortez,Pecem,BRPEC,,2807,USD,2026-01-30,,0,0,,,43,15,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768257082040,COMP1764818591026,INFINITY,,Houston,USHOU,,Suape,BRSUA,,1497,USD,2026-02-11,,0,0,,,29,21,PORT_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768327241888,COMP1764818591026,TRANSPORT,Maersk (A.P. Møller – Maersk),Puerto Cortes,HNPCR,"San Juan Industrial Park, Choloma, Cortes, Honduras",Ho Chi Minh,VNSGN,,1490,USD,2026-02-12,,0,0,,,0,11,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768327471507,COMP1764818591026,"TRANSPORT ",Maersk (A.P. Møller – Maersk),Puerto Quetzal,GTPRQ,"Palín, Escuintla, Guatemala",Ho Chi Minh,VNSGN,,1690,USD,2026-02-12,,0,0,,,0,11,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768327544103,COMP1764818591026,"TRANSPORT ",Maersk (A.P. Møller – Maersk),Acajutla,SVAQJ,"Apopa, San Salvador, El Salvador",Ho Chi Minh,VNSGN,,1690,USD,2026-02-12,,0,0,,,0,11,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768338140174,COMP1764818591026,INFINITY,,Charleston,USCHS,"Spartanburg, SC",Liverpool,GBLIV,,3084,USD,2026-01-30,,0,0,,,35,14,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768338579787,COMP1764818591026,INFINITY,,Charleston,USCHS,"200 Curtis Harley Drive, Spartanburg, SC",Felixstowe,GBFXT,,3084,USD,2026-02-12,,0,0,29302,29302,0,0,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768339093438,COMP1764818591026,INFINITY,,Charleston,USCHS,"Spartanburg, SC",Felixstowe,GBFXT,,3084,USD,2026-02-12,,0,0,,29302,0,0,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768346410575,COMP1764818591026,INFINITY,,Acajutla,SVAQJ,Soyapango,Pecem,BRPEC,,2307,USD,2026-01-30,,0,0,,,58,15,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768347401025,COMP1764818591026,INFINITY,,Puerto Quetzal,GTPRQ,Guatemala City,Ho Chi Minh,VNSGN,,1615,USD,2026-01-30,,0,0,,,59,11,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768347562046,COMP1764818591026,INFINITY,,Puerto Cortes,HNPCR,Choloma Cortez,Ho Chi Minh,VNSGN,,1460,USD,2026-01-30,,0,0,,,58,11,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768347658791,COMP1764818591026,INFINITY,,Acajutla,SVAQJ,San Salvador,Ho Chi Minh,VNSGN,,1620,USD,2026-01-30,,0,0,,,59,11,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768402298477,COMP1764818591026,GLOBAL,Hapag-Lloyd,Charleston,USCHS,SPARTA,Pecem,BRPEC,,2745,USD,2026-02-13,,0,0,,,0,18,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768402346342,COMP1764818591026,GLOBAL,Hapag-Lloyd,Charleston,USCHS,MONROE,Pecem,BRPEC,,2685,USD,2026-02-13,,0,0,,,0,18,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768402389286,COMP1764818591026,GLOBAL,Hapag-Lloyd,Charleston,USCHS,MOUNTAIN CITY,Pecem,BRPEC,,2825,USD,2026-02-13,,0,0,,,0,18,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768402436415,COMP1764818591026,GLOBAL,Hapag-Lloyd,Charleston,USCHS,THOMASVILLE,Pecem,BRPEC,,2745,USD,2026-02-13,,0,0,,,0,18,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768402598634,COMP1764818591026,GLOBAL,Hapag-Lloyd,Charleston,USCHS,LEXINGTON,Pecem,BRPEC,,2745,USD,2026-02-13,,0,0,,,0,18,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1768402690660,COMP1764818591026,GLOBAL,Hapag-Lloyd,Charleston,USCHS,"CHARLOTTE, NC",Pecem,BRPEC,,2745,USD,2026-02-13,,0,0,,28202,0,18,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
